,Length,WordContent,Depth,TopConstituents,BigramShift,Tense,SubjNumber,ObjNumber,OddManOut,CoordinationInversion,Model
1,97.21,93.33,37.21,73.78,52.54,87.44,82.69,81.33,53.35,56.47,bert
2,96.54,91.72,39.99,76.72,71.37,88.4,84.22,82.96,54.23,60.73,bert
3,94.76,89.17,40.96,78.31,82.55,89.12,83.74,82.92,55.62,61.73,bert
4,94.29,86.42,42.15,80.07,84.88,89.28,84.64,82.89,56.95,62.34,bert
5,93.01,83.02,43.03,80.54,87.07,89.46,85.11,83.58,59.48,62.74,bert
6,92.28,79.1,42.29,81.24,88.27,89.66,85.96,83.82,62.51,65.49,bert
7,91.31,75.83,42.29,81.2,89.78,89.71,87.83,83.65,64.21,69.22,bert
8,90.54,72.42,42.53,80.58,90.78,90.11,87.56,84.09,65.48,70.83,bert
9,88.75,67.95,41.04,79.65,90.82,90.32,87.63,83.52,66.51,72.43,bert
10,85.77,63.91,40.17,77.7,90.21,90.61,86.84,82.63,66.93,71.3,bert
11,83.15,62.29,39.01,76.19,89.75,90.41,86.3,82.11,67.3,70.49,bert
12,81.7,59.79,37.26,74.85,89.0,90.42,85.61,80.98,66.17,69.43,bert
1,76.52,3.86,24.05,45.17,51.06,74.0,64.12,67.32,50.28,52.38,vit-mae
2,80.93,4.21,24.7,47.77,50.37,75.45,65.2,68.06,50.25,52.19,vit-mae
3,82.45,5.11,24.51,50.16,50.94,76.28,66.41,68.21,50.42,52.37,vit-mae
4,83.3,5.6,25.05,52.01,50.62,77.12,67.18,68.62,50.4,52.85,vit-mae
5,82.8,5.67,25.18,52.36,51.23,76.85,67.59,67.93,50.79,53.41,vit-mae
6,82.33,6.2,24.74,52.09,50.94,76.7,66.69,67.61,50.48,53.58,vit-mae
7,81.23,5.7,24.59,53.22,50.9,76.15,66.22,66.12,50.4,53.79,vit-mae
8,81.64,5.72,23.75,54.82,50.86,75.51,66.5,65.44,50.48,53.79,vit-mae
9,80.93,5.54,24.66,54.49,50.96,76.03,65.83,65.49,50.48,53.66,vit-mae
10,80.87,5.41,24.23,52.97,50.59,75.13,65.16,65.34,50.73,53.94,vit-mae
11,81.04,4.22,24.12,52.36,50.93,75.02,64.92,65.58,50.61,53.66,vit-mae
12,78.64,2.64,22.45,47.46,50.22,72.31,64.15,63.56,50.35,53.0,vit-mae
1,80.58,1.62,22.79,37.16,51.22,75.55,64.28,69.39,50.31,51.39,pixel
2,83.58,4.48,25.22,45.23,50.84,80.44,70.66,73.23,50.23,51.67,pixel
3,86.29,15.09,27.61,49.97,52.0,85.27,76.94,77.6,50.38,52.38,pixel
4,89.91,34.11,31.31,56.81,54.47,86.29,79.5,79.57,50.94,53.72,pixel
5,91.63,56.99,34.22,62.87,60.21,87.27,81.03,81.02,50.63,56.11,pixel
6,91.79,68.22,35.85,70.14,67.3,87.54,82.68,81.97,50.66,58.33,pixel
7,90.46,71.81,37.81,73.54,70.98,88.61,85.01,83.75,51.58,59.05,pixel
8,91.13,70.65,39.66,75.56,74.53,89.07,86.43,84.42,54.01,62.55,pixel
9,90.94,68.82,40.38,76.44,79.31,89.02,86.84,84.58,55.47,63.3,pixel
10,89.19,66.92,39.79,76.12,79.93,89.14,87.34,84.4,57.25,64.48,pixel
11,88.76,65.77,39.13,75.88,79.84,88.95,87.25,84.38,57.15,64.79,pixel
12,87.7,62.54,37.15,74.87,79.87,89.03,87.33,83.76,57.11,64.81,pixel
1,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
2,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
3,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
4,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
5,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
6,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
7,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
8,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
9,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
10,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
11,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
12,16.666666666666664,0.1,17.88,5.0,50.0,50.0,50.0,50.0,50.129999999999995,50.0,baseline
