,Layer,Accuracy,Model,Task
0,1,78.4,BERT,MaxCount
1,2,78.0,BERT,MaxCount
2,3,78.0,BERT,MaxCount
3,4,77.7,BERT,MaxCount
4,5,77.1,BERT,MaxCount
5,6,76.8,BERT,MaxCount
6,7,76.8,BERT,MaxCount
7,8,76.5,BERT,MaxCount
8,9,76.2,BERT,MaxCount
9,10,75.8,BERT,MaxCount
10,11,75.8,BERT,MaxCount
11,12,75.8,BERT,MaxCount
12,1,83.3,ViT-mae,MaxCount
13,2,83.5,ViT-mae,MaxCount
14,3,83.4,ViT-mae,MaxCount
15,4,83.2,ViT-mae,MaxCount
16,5,83.1,ViT-mae,MaxCount
17,6,82.6,ViT-mae,MaxCount
18,7,82.6,ViT-mae,MaxCount
19,8,81.9,ViT-mae,MaxCount
20,9,82.3,ViT-mae,MaxCount
21,10,81.9,ViT-mae,MaxCount
22,11,81.3,ViT-mae,MaxCount
23,12,80.4,ViT-mae,MaxCount
24,1,81.2,PIXEL,MaxCount
25,2,81.2,PIXEL,MaxCount
26,3,81.8,PIXEL,MaxCount
27,4,82.5,PIXEL,MaxCount
28,5,82.5,PIXEL,MaxCount
29,6,82.5,PIXEL,MaxCount
30,7,82.5,PIXEL,MaxCount
31,8,82.3,PIXEL,MaxCount
32,9,82.2,PIXEL,MaxCount
33,10,82.0,PIXEL,MaxCount
34,11,81.8,PIXEL,MaxCount
35,12,81.3,PIXEL,MaxCount
0,1,49.9,BERT,ArgmaxCount
1,2,49.1,BERT,ArgmaxCount
2,3,48.6,BERT,ArgmaxCount
3,4,47.2,BERT,ArgmaxCount
4,5,46.4,BERT,ArgmaxCount
5,6,45.9,BERT,ArgmaxCount
6,7,44.5,BERT,ArgmaxCount
7,8,43.3,BERT,ArgmaxCount
8,9,42.2,BERT,ArgmaxCount
9,10,42.1,BERT,ArgmaxCount
10,11,41.3,BERT,ArgmaxCount
11,12,40.7,BERT,ArgmaxCount
12,1,73.6,ViT-mae,ArgmaxCount
13,2,74.3,ViT-mae,ArgmaxCount
14,3,74.7,ViT-mae,ArgmaxCount
15,4,74.0,ViT-mae,ArgmaxCount
16,5,72.0,ViT-mae,ArgmaxCount
17,6,71.1,ViT-mae,ArgmaxCount
18,7,69.2,ViT-mae,ArgmaxCount
19,8,69.2,ViT-mae,ArgmaxCount
20,9,68.1,ViT-mae,ArgmaxCount
21,10,66.9,ViT-mae,ArgmaxCount
22,11,65.7,ViT-mae,ArgmaxCount
23,12,59.4,ViT-mae,ArgmaxCount
24,1,65.7,PIXEL,ArgmaxCount
25,2,70.7,PIXEL,ArgmaxCount
26,3,70.5,PIXEL,ArgmaxCount
27,4,72.3,PIXEL,ArgmaxCount
28,5,71.3,PIXEL,ArgmaxCount
29,6,72.0,PIXEL,ArgmaxCount
30,7,70.0,PIXEL,ArgmaxCount
31,8,70.1,PIXEL,ArgmaxCount
32,9,70.0,PIXEL,ArgmaxCount
33,10,68.9,PIXEL,ArgmaxCount
34,11,68.0,PIXEL,ArgmaxCount
35,12,66.3,PIXEL,ArgmaxCount
