,Accuracy,Model,Task
1,94.03,PIXEL,MNIST
2,93.96,PIXEL,MNIST
3,93.62,PIXEL,MNIST
4,93.36,PIXEL,MNIST
5,92.44,PIXEL,MNIST
6,92.49,PIXEL,MNIST
7,92.53,PIXEL,MNIST
8,92.43,PIXEL,MNIST
9,92.93,PIXEL,MNIST
10,93.14,PIXEL,MNIST
11,92.01,PIXEL,MNIST
12,92.0,PIXEL,MNIST
1,97.87,ViT-mae,MNIST
2,97.74,ViT-mae,MNIST
3,97.68,ViT-mae,MNIST
4,98.18,ViT-mae,MNIST
5,98.34,ViT-mae,MNIST
6,98.41,ViT-mae,MNIST
7,98.44,ViT-mae,MNIST
8,98.57,ViT-mae,MNIST
9,98.33,ViT-mae,MNIST
10,98.26,ViT-mae,MNIST
11,98.12,ViT-mae,MNIST
12,97.41,ViT-mae,MNIST
